epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,139.751,1.26212,1.89383,0.75101,0.93662,0.88552,0.86869,0.87504,0.41756,0.86475,0.83324,0.82106,0.3324,1.31535,2.2938,0.89917,0.96117,0.00194258,0.00194258,0.00194258
31,144.219,1.24,1.92255,0.73483,0.92676,0.87775,0.86414,0.88704,0.45358,0.87156,0.85313,0.86558,0.39427,1.32634,2.2334,0.76867,0.96001,0.0019406,0.0019406,0.0019406
32,148.503,1.20882,1.83476,0.70504,0.917,0.87335,0.8486,0.87242,0.43621,0.87677,0.84267,0.86608,0.41132,1.33431,2.40674,0.77036,0.97156,0.00193862,0.00193862,0.00193862
33,152.528,1.26864,1.93679,0.79025,0.94243,0.8922,0.86278,0.89982,0.47738,0.86719,0.83093,0.857,0.40519,1.27297,2.20172,0.71682,0.95269,0.00193664,0.00193664,0.00193664
34,156.612,1.17756,1.74304,0.70172,0.91506,0.89508,0.87309,0.91122,0.48538,0.87888,0.82599,0.86832,0.41349,1.27694,2.13655,0.72073,0.94921,0.00193466,0.00193466,0.00193466
35,160.979,1.21724,1.85379,0.72508,0.92366,0.88725,0.87465,0.90812,0.47134,0.87008,0.8486,0.87236,0.42034,1.26736,2.1229,0.75949,0.94661,0.00193268,0.00193268,0.00193268
36,165.819,1.20207,1.82371,0.72224,0.9103,0.88088,0.87696,0.90476,0.46585,0.87085,0.84898,0.87499,0.41437,1.35288,2.17346,0.76737,0.95727,0.0019307,0.0019307,0.0019307
37,169.998,1.24701,1.94119,0.72959,0.93144,0.87835,0.87175,0.8955,0.49437,0.86508,0.85282,0.87196,0.42464,1.27216,2.30561,0.73572,0.95004,0.00192872,0.00192872,0.00192872
38,174.249,1.1901,1.83439,0.70448,0.92938,0.8992,0.87871,0.91187,0.50531,0.88849,0.85972,0.88288,0.44728,1.25395,2.26392,0.71379,0.94659,0.00192674,0.00192674,0.00192674
39,178.57,1.25935,1.9396,0.74018,0.92431,0.88019,0.87854,0.8977,0.4742,0.87243,0.85512,0.86607,0.42934,1.304,2.34479,0.72922,0.9531,0.00192476,0.00192476,0.00192476
40,182.803,1.23217,1.83907,0.68938,0.91631,0.89791,0.8866,0.90965,0.48613,0.87774,0.86681,0.87805,0.41385,1.29604,2.20667,0.71601,0.94598,0.00192278,0.00192278,0.00192278
41,187.702,1.23292,1.83589,0.72963,0.91672,0.89937,0.88118,0.89746,0.43205,0.88745,0.86393,0.86701,0.40081,1.25927,2.24928,0.72506,0.94812,0.0019208,0.0019208,0.0019208
42,191.921,1.21257,1.83032,0.70078,0.92995,0.89883,0.88386,0.90212,0.44947,0.87854,0.8601,0.85648,0.389,1.23449,2.29821,0.70989,0.94574,0.00191882,0.00191882,0.00191882
43,196.261,1.20363,1.74844,0.68226,0.91192,0.90763,0.89258,0.92128,0.50492,0.8881,0.84362,0.8764,0.42437,1.33844,2.16454,0.70664,0.95348,0.00191684,0.00191684,0.00191684
44,200.814,1.22952,1.83396,0.70464,0.92263,0.90384,0.86823,0.90483,0.49408,0.89189,0.84209,0.87602,0.43539,1.30417,2.22654,0.7018,0.95374,0.00191486,0.00191486,0.00191486
45,205.078,1.19246,1.78587,0.67594,0.91163,0.91231,0.89,0.91505,0.46443,0.88908,0.86163,0.87216,0.4035,1.29962,2.23643,0.70659,0.95019,0.00191288,0.00191288,0.00191288
46,209.649,1.1447,1.77905,0.68633,0.92049,0.91124,0.87753,0.8974,0.44668,0.88787,0.85887,0.85962,0.39712,1.32423,2.34003,0.71129,0.95632,0.0019109,0.0019109,0.0019109
47,213.893,1.13655,1.71287,0.66714,0.91432,0.87442,0.85627,0.87441,0.4622,0.87421,0.82048,0.84198,0.38847,1.30101,2.41376,0.70833,0.95438,0.00190892,0.00190892,0.00190892
48,218.261,1.19145,1.77745,0.69381,0.92094,0.89539,0.87428,0.88509,0.48061,0.89377,0.8555,0.86913,0.41871,1.2725,2.30456,0.73989,0.94763,0.00190694,0.00190694,0.00190694
49,222.837,1.21699,1.82376,0.73633,0.92814,0.91203,0.88616,0.90648,0.47495,0.89327,0.8693,0.87625,0.4283,1.30135,2.22316,0.69506,0.95644,0.00190496,0.00190496,0.00190496
50,227.757,1.14046,1.74573,0.66879,0.90575,0.92087,0.89766,0.91425,0.49915,0.90354,0.86883,0.87993,0.42331,1.23214,2.06589,0.68024,0.93891,0.00190298,0.00190298,0.00190298
