epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,629.573,1.13578,1.65268,0.62154,0.92986,0.91572,0.89955,0.92564,0.48205,0.89791,0.86301,0.88149,0.40678,1.34767,2.0867,0.63841,0.97666,0.0018713,0.0018713,0.0018713
67,638.751,1.2105,1.76952,0.62006,0.94955,0.92124,0.89958,0.92672,0.5073,0.90566,0.88425,0.90226,0.44983,1.34478,2.07229,0.62946,0.98544,0.00186932,0.00186932,0.00186932
68,648.457,1.15806,1.6974,0.59367,0.96871,0.92649,0.88156,0.92444,0.52354,0.90854,0.85665,0.8924,0.44831,1.35914,2.15107,0.62922,0.98864,0.00186734,0.00186734,0.00186734
69,658.405,1.13471,1.68932,0.61614,0.93572,0.91261,0.90061,0.92645,0.49124,0.89871,0.87313,0.89349,0.41984,1.36073,2.19871,0.64022,0.98621,0.00186536,0.00186536,0.00186536
70,667.769,1.156,1.71008,0.5913,0.93355,0.90956,0.90199,0.92593,0.48078,0.88712,0.87696,0.8919,0.41129,1.36856,2.17287,0.64228,0.98348,0.00186338,0.00186338,0.00186338
71,677.066,1.11207,1.68115,0.60092,0.94847,0.91407,0.89345,0.92486,0.48362,0.89402,0.8693,0.89082,0.40692,1.35728,2.20848,0.64373,0.9809,0.0018614,0.0018614,0.0018614
72,686.473,1.17906,1.81463,0.59708,0.94966,0.92099,0.89345,0.92737,0.51603,0.90279,0.86738,0.89527,0.44175,1.3579,2.09447,0.62596,0.97839,0.00185942,0.00185942,0.00185942
73,695.822,1.21372,1.80784,0.61488,0.94838,0.91275,0.87412,0.91982,0.52043,0.90362,0.8486,0.89141,0.45472,1.36273,2.07562,0.63921,0.98167,0.00185744,0.00185744,0.00185744
74,705.104,1.25459,1.83243,0.63888,0.97543,0.8772,0.85969,0.84851,0.37432,0.88106,0.8631,0.85358,0.35362,1.60577,2.63877,0.73252,1.04956,0.00185546,0.00185546,0.00185546
75,714.864,1.29439,1.87949,0.70308,0.97265,0.86411,0.86281,0.82732,0.35631,0.86391,0.86163,0.82511,0.34174,1.57237,2.76891,0.76428,1.04011,0.00185348,0.00185348,0.00185348
76,724.809,1.25763,1.84493,0.6566,0.98571,0.91847,0.90916,0.91955,0.48638,0.89363,0.87696,0.87598,0.40369,1.34263,2.14524,0.64583,0.97968,0.0018515,0.0018515,0.0018515
77,734.865,1.27309,1.87938,0.63507,0.98043,0.91664,0.8969,0.9232,0.49635,0.88897,0.867,0.87748,0.40788,1.37673,2.18368,0.63878,0.98484,0.00184952,0.00184952,0.00184952
78,744.078,1.18176,1.72032,0.59774,0.94119,0.89646,0.88935,0.91084,0.47565,0.89095,0.88271,0.89614,0.4692,1.4297,2.13137,0.66312,1.00141,0.00184754,0.00184754,0.00184754
79,753.345,1.2313,1.78699,0.61347,0.96424,0.89362,0.88224,0.8996,0.44857,0.89147,0.87838,0.89021,0.44788,1.42132,2.22113,0.66206,1.00215,0.00184556,0.00184556,0.00184556
80,762.781,1.20769,1.74784,0.61932,0.95242,0.91478,0.89076,0.92344,0.49692,0.8842,0.86087,0.87708,0.4113,1.36111,2.15614,0.64797,0.98039,0.00184358,0.00184358,0.00184358
81,771.986,1.12304,1.62926,0.60079,0.97119,0.91999,0.89076,0.92786,0.54077,0.89755,0.86393,0.89085,0.46623,1.32232,2.06726,0.61828,0.977,0.0018416,0.0018416,0.0018416
82,781.099,1.12189,1.67155,0.58328,0.92687,0.9243,0.89575,0.928,0.52932,0.90629,0.87478,0.89806,0.46968,1.34226,2.09911,0.6275,0.97965,0.00183962,0.00183962,0.00183962
83,790.199,1.2062,1.74546,0.61565,0.96796,0.90368,0.8882,0.90346,0.48489,0.896,0.87508,0.88335,0.44411,1.43624,2.20805,0.66676,0.99175,0.00183764,0.00183764,0.00183764
84,799.303,1.13063,1.64993,0.58638,0.94623,0.90634,0.87696,0.91407,0.51622,0.89442,0.86373,0.89089,0.45798,1.40346,2.15875,0.63949,0.98757,0.00183566,0.00183566,0.00183566
