epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,116.081,1.24427,0.68496,0.94144,0.90428,0.87811,0.9041,0.48183,1.31714,0.69227,0.95528,0.00191882,0.00191882,0.00191882
43,118.681,1.19129,0.66815,0.91819,0.90478,0.87404,0.90172,0.48517,1.28825,0.66355,0.96098,0.00191684,0.00191684,0.00191684
44,121.386,1.26312,0.68708,0.93065,0.89658,0.87055,0.89486,0.48524,1.28985,0.67726,0.95229,0.00191486,0.00191486,0.00191486
45,123.998,1.23628,0.67425,0.92421,0.9201,0.89613,0.91418,0.47592,1.36094,0.70563,0.95376,0.00191288,0.00191288,0.00191288
46,126.401,1.18611,0.6831,0.93321,0.9299,0.89488,0.91477,0.49381,1.22725,0.68258,0.93571,0.0019109,0.0019109,0.0019109
47,128.908,1.17402,0.66333,0.92032,0.90809,0.88235,0.9098,0.50076,1.30425,0.6759,0.94832,0.00190892,0.00190892,0.00190892
48,131.373,1.253,0.69361,0.93733,0.89295,0.87696,0.89864,0.4892,1.33539,0.67388,0.95277,0.00190694,0.00190694,0.00190694
49,134.17,1.2415,0.73622,0.93589,0.88601,0.85799,0.85854,0.39571,1.30144,0.70799,0.9579,0.00190496,0.00190496,0.00190496
50,136.651,1.16488,0.68322,0.90961,0.89912,0.88138,0.8956,0.41957,1.28836,0.70578,0.95479,0.00190298,0.00190298,0.00190298
51,139.376,1.24529,0.67617,0.92025,0.90276,0.86829,0.90163,0.46837,1.33506,0.69285,0.95984,0.001901,0.001901,0.001901
52,141.827,1.18303,0.63729,0.92498,0.91579,0.88786,0.92064,0.49995,1.30875,0.67743,0.95919,0.00189902,0.00189902,0.00189902
53,144.311,1.24631,0.68377,0.94572,0.83515,0.80388,0.82284,0.37085,1.58675,0.80387,1.01998,0.00189704,0.00189704,0.00189704
54,146.915,1.30005,0.7125,0.95201,0.8142,0.77961,0.7951,0.33045,1.67605,0.85563,1.03583,0.00189506,0.00189506,0.00189506
55,149.475,1.24895,0.7038,0.92924,0.90727,0.88504,0.90748,0.46398,1.25224,0.68032,0.94745,0.00189308,0.00189308,0.00189308
56,151.957,1.23137,0.67839,0.9282,0.90879,0.8745,0.89572,0.47774,1.23313,0.66625,0.94913,0.0018911,0.0018911,0.0018911
