epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,286.699,1.27024,1.8939,0.78645,0.94535,0.93833,0.9363,0.97694,0.53046,0.94197,0.91538,0.95123,0.44289,1.48528,2.25906,0.72504,0.91065,0.00194258,0.00194258,0.00194258
31,295.848,1.30371,1.93869,0.77556,0.9621,0.93381,0.93846,0.97557,0.55888,0.9292,0.90866,0.95545,0.44649,1.39374,2.27292,0.69315,0.88711,0.0019406,0.0019406,0.0019406
32,304.854,1.32104,1.96238,0.80274,0.9724,0.92238,0.90769,0.95982,0.47207,0.93559,0.8939,0.93302,0.37746,1.65537,2.55424,0.73722,0.92856,0.00193862,0.00193862,0.00193862
33,314.163,1.33017,1.97798,0.79357,0.95953,0.93911,0.93077,0.97563,0.54988,0.9233,0.92594,0.95646,0.46934,1.42393,2.29054,0.6658,0.90823,0.00193664,0.00193664,0.00193664
34,323.293,1.33591,1.9856,0.8223,0.96313,0.92381,0.93846,0.97199,0.57553,0.9411,0.87692,0.94356,0.48587,1.35163,2.23068,0.65394,0.89687,0.00193466,0.00193466,0.00193466
35,332.21,1.29742,1.91217,0.77746,0.9528,0.93673,0.93077,0.97116,0.49274,0.93458,0.89231,0.93261,0.40586,1.59958,2.4045,0.71417,0.92137,0.00193268,0.00193268,0.00193268
36,341.479,1.27042,1.92071,0.76618,0.95425,0.93702,0.91554,0.96984,0.53446,0.93665,0.90991,0.94692,0.47879,1.48052,2.4294,0.73286,0.91106,0.0019307,0.0019307,0.0019307
37,350.745,1.25806,1.87199,0.72792,0.93448,0.92165,0.92308,0.97351,0.55674,0.9584,0.89231,0.9385,0.48914,1.3921,2.15879,0.69858,0.89559,0.00192872,0.00192872,0.00192872
38,360.231,1.27586,1.91931,0.75468,0.95652,0.94329,0.95385,0.97353,0.56398,0.91286,0.92308,0.95273,0.4726,1.40159,2.21496,0.67259,0.88359,0.00192674,0.00192674,0.00192674
39,369.983,1.27796,1.89251,0.74147,0.9499,0.92382,0.94615,0.96899,0.50828,0.95857,0.88985,0.94647,0.45014,1.55187,2.41379,0.69931,0.91673,0.00192476,0.00192476,0.00192476
40,379.763,1.328,1.996,0.79272,0.94872,0.92502,0.94895,0.96905,0.5287,0.92066,0.89264,0.92895,0.43658,1.50655,2.36984,0.69289,0.91149,0.00192278,0.00192278,0.00192278
41,389.58,1.21696,1.76499,0.71962,0.92147,0.95286,0.93302,0.97481,0.57878,0.94501,0.92533,0.95686,0.49721,1.3598,2.23112,0.64727,0.89463,0.0019208,0.0019208,0.0019208
42,398.635,1.25745,1.88592,0.73847,0.94395,0.94897,0.92308,0.97183,0.54812,0.94897,0.92308,0.95504,0.48721,1.42622,2.30976,0.65915,0.90002,0.00191882,0.00191882,0.00191882
43,408.385,1.26673,1.83992,0.73314,0.93104,0.94827,0.93846,0.97201,0.52749,0.95265,0.92867,0.95449,0.46266,1.46947,2.32778,0.66753,0.903,0.00191684,0.00191684,0.00191684
44,418.378,1.28144,1.94355,0.74794,0.9601,0.93911,0.9491,0.97013,0.54212,0.95781,0.91538,0.95707,0.45108,1.45583,2.4117,0.67208,0.89902,0.00191486,0.00191486,0.00191486
45,427.203,1.24193,1.89228,0.74843,0.94903,0.92912,0.93846,0.97579,0.52852,0.93011,0.92131,0.95241,0.43078,1.45491,2.4301,0.70535,0.90085,0.00191288,0.00191288,0.00191288
46,436.257,1.27929,1.94372,0.74453,0.95073,0.9525,0.92543,0.98029,0.59734,0.92874,0.90235,0.95045,0.4829,1.27709,2.09701,0.64746,0.87468,0.0019109,0.0019109,0.0019109
47,445.477,1.26243,1.8349,0.74517,0.93078,0.95642,0.92308,0.97847,0.53404,0.95165,0.90843,0.95058,0.45848,1.45164,2.22323,0.67536,0.89728,0.00190892,0.00190892,0.00190892
48,455.506,1.34712,1.99239,0.76561,0.94701,0.93453,0.92308,0.97573,0.5421,0.91639,0.92744,0.94873,0.44405,1.42239,2.43577,0.68405,0.89266,0.00190694,0.00190694,0.00190694
49,464.947,1.16704,1.72349,0.72197,0.93486,0.9609,0.94517,0.98002,0.53324,0.95229,0.92116,0.95717,0.45256,1.49533,2.50224,0.67789,0.90499,0.00190496,0.00190496,0.00190496
50,474.203,1.25854,1.84449,0.7146,0.93488,0.93017,0.93846,0.97251,0.54862,0.95869,0.89231,0.94986,0.44098,1.43149,2.28195,0.64027,0.88842,0.00190298,0.00190298,0.00190298
51,483.544,1.21581,1.78557,0.70819,0.93535,0.94684,0.95903,0.97711,0.5353,0.95249,0.92525,0.9623,0.48843,1.43757,2.2879,0.67476,0.89949,0.001901,0.001901,0.001901
52,492.981,1.28883,1.86961,0.71982,0.94285,0.94981,0.95385,0.97516,0.47856,0.94568,0.93748,0.96443,0.45723,1.62805,2.53296,0.704,0.93468,0.00189902,0.00189902,0.00189902
53,502.449,1.26727,1.88973,0.72027,0.94073,0.93888,0.94527,0.98059,0.58287,0.96684,0.92308,0.9594,0.50059,1.30015,2.17606,0.62532,0.8743,0.00189704,0.00189704,0.00189704
54,511.763,1.24069,1.87557,0.7149,0.94418,0.92917,0.94615,0.97176,0.55929,0.95835,0.93077,0.96186,0.46892,1.40029,2.19197,0.6513,0.89785,0.00189506,0.00189506,0.00189506
55,521.084,1.24396,1.82934,0.69844,0.93437,0.93705,0.91605,0.97333,0.4871,0.93705,0.91605,0.96015,0.42394,1.60998,2.44447,0.67515,0.93205,0.00189308,0.00189308,0.00189308
56,530.559,1.23498,1.80523,0.70171,0.93334,0.93053,0.92736,0.97306,0.52764,0.93825,0.93506,0.9536,0.4392,1.43505,2.23516,0.64485,0.89063,0.0018911,0.0018911,0.0018911
57,539.601,1.2121,1.84102,0.69757,0.94677,0.93443,0.94615,0.98099,0.52672,0.95952,0.9118,0.95862,0.44187,1.49632,2.40898,0.66134,0.90828,0.00188912,0.00188912,0.00188912
58,548.831,1.22842,1.86389,0.68639,0.92625,0.95274,0.93077,0.98095,0.57714,0.94487,0.92308,0.9555,0.48945,1.32144,2.14236,0.60635,0.87803,0.00188714,0.00188714,0.00188714
59,558.26,1.18534,1.74219,0.67949,0.93256,0.91094,0.94421,0.96586,0.53479,0.90688,0.91538,0.94967,0.45475,1.41493,2.04617,0.64452,0.89177,0.00188516,0.00188516,0.00188516
60,567.407,1.26822,1.8301,0.7358,0.94221,0.93042,0.95385,0.97993,0.55438,0.9424,0.9,0.95242,0.45758,1.43428,2.24571,0.66393,0.89782,0.00188318,0.00188318,0.00188318
61,576.898,1.21867,1.78795,0.68024,0.9422,0.94035,0.94615,0.9713,0.59289,0.93071,0.92996,0.95522,0.50385,1.24875,1.96497,0.63561,0.86611,0.0018812,0.0018812,0.0018812
62,586.357,1.19701,1.77624,0.68367,0.92835,0.93006,0.94615,0.98064,0.55187,0.96708,0.89231,0.95388,0.477,1.43656,2.22782,0.623,0.89679,0.00187922,0.00187922,0.00187922
63,595.26,1.24425,1.79009,0.68073,0.9271,0.93547,0.95385,0.9805,0.53215,0.96038,0.89231,0.94974,0.43652,1.51725,2.43211,0.64539,0.90295,0.00187724,0.00187724,0.00187724
64,604.491,1.17379,1.79677,0.66524,0.92163,0.95271,0.92982,0.97024,0.58714,0.95271,0.92982,0.95924,0.50433,1.25801,2.14562,0.60444,0.87547,0.00187526,0.00187526,0.00187526
65,614.065,1.17538,1.7587,0.66678,0.92424,0.93185,0.94615,0.97283,0.61417,0.96206,0.93077,0.96119,0.53241,1.17895,1.89517,0.5803,0.86459,0.00187328,0.00187328,0.00187328
66,623.394,1.20239,1.81792,0.67278,0.91955,0.93775,0.92704,0.97788,0.5784,0.95899,0.90769,0.94628,0.47151,1.31562,2.26255,0.6113,0.87916,0.0018713,0.0018713,0.0018713
67,632.847,1.20562,1.79183,0.67778,0.92929,0.94552,0.93455,0.97911,0.57286,0.97554,0.92032,0.96007,0.48267,1.34048,2.12457,0.61203,0.87927,0.00186932,0.00186932,0.00186932
68,642.292,1.21288,1.74671,0.69389,0.9272,0.94557,0.93538,0.98064,0.57651,0.96745,0.91464,0.95884,0.4863,1.35207,2.10467,0.59567,0.88274,0.00186734,0.00186734,0.00186734
69,651.82,1.17254,1.72044,0.67216,0.92578,0.95275,0.93073,0.97458,0.57936,0.95234,0.92219,0.95741,0.47065,1.40387,2.18131,0.64114,0.88864,0.00186536,0.00186536,0.00186536
70,660.861,1.26083,1.89824,0.69959,0.93817,0.92521,0.95164,0.9813,0.55499,0.9754,0.91504,0.95323,0.45937,1.42584,2.2226,0.62833,0.89176,0.00186338,0.00186338,0.00186338
71,670.121,1.19762,1.7743,0.67235,0.93476,0.95415,0.96042,0.98515,0.6245,0.98366,0.92644,0.96318,0.5397,1.14158,1.91377,0.5764,0.84981,0.0018614,0.0018614,0.0018614
72,679.516,1.16141,1.72715,0.66516,0.9235,0.9196,0.96787,0.98413,0.55744,0.96408,0.92308,0.9587,0.4957,1.3743,2.18699,0.63139,0.88361,0.00185942,0.00185942,0.00185942
73,688.645,1.19358,1.77747,0.66483,0.92969,0.96023,0.92871,0.9831,0.60563,0.96012,0.92308,0.96115,0.52615,1.25165,2.05591,0.59786,0.86445,0.00185744,0.00185744,0.00185744
74,697.627,1.20192,1.78038,0.65707,0.91788,0.94612,0.94558,0.98179,0.55442,0.96521,0.91538,0.95134,0.47627,1.3919,2.31456,0.62176,0.89052,0.00185546,0.00185546,0.00185546
75,706.473,1.19275,1.79623,0.67233,0.92925,0.95205,0.94615,0.98191,0.56084,0.95491,0.93077,0.95217,0.48418,1.43278,2.38638,0.60821,0.89134,0.00185348,0.00185348,0.00185348
76,715.436,1.15774,1.75107,0.65411,0.91695,0.92281,0.91958,0.97673,0.53852,0.93667,0.92308,0.95518,0.4754,1.43375,2.13713,0.63993,0.89163,0.0018515,0.0018515,0.0018515
77,724.29,1.24452,1.9442,0.84482,0.94911,0.9318,0.94589,0.97978,0.58957,0.93054,0.92748,0.95651,0.51142,1.28303,1.99944,0.60513,0.8713,0.00184952,0.00184952,0.00184952
78,732.935,1.14316,1.73248,0.64219,0.91264,0.93916,0.95002,0.98084,0.59299,0.9345,0.92308,0.95561,0.48466,1.26287,2.02827,0.5831,0.86239,0.00184754,0.00184754,0.00184754
79,742.179,1.17863,1.76833,0.65825,0.91697,0.93322,0.94615,0.98283,0.58441,0.92822,0.93846,0.95668,0.47426,1.3191,2.14961,0.61022,0.87349,0.00184556,0.00184556,0.00184556
80,751.622,1.19176,1.7906,0.66684,0.92711,0.9524,0.93846,0.98074,0.54637,0.94429,0.93077,0.95176,0.4583,1.43577,2.35101,0.64643,0.89012,0.00184358,0.00184358,0.00184358
81,760.708,1.21545,1.81148,0.67483,0.93385,0.91824,0.95038,0.95832,0.60206,0.92671,0.92308,0.94982,0.50652,1.20684,1.9263,0.58968,0.85999,0.0018416,0.0018416,0.0018416
82,769.566,1.19989,1.81956,0.67015,0.92943,0.95653,0.93846,0.98085,0.5275,0.9825,0.90769,0.95279,0.48484,1.5789,2.27549,0.63651,0.90832,0.00183962,0.00183962,0.00183962
83,778.802,1.26983,1.89365,0.67945,0.93901,0.98479,0.91538,0.98526,0.54109,0.95956,0.89231,0.9447,0.46298,1.52931,2.32371,0.64435,0.9004,0.00183764,0.00183764,0.00183764
84,788.511,1.24194,1.82807,0.68431,0.92955,0.90871,0.91887,0.96895,0.60503,0.93945,0.9,0.92427,0.47893,1.17894,1.96625,0.61157,0.8593,0.00183566,0.00183566,0.00183566
85,798,1.22253,1.74063,0.66657,0.93138,0.89437,0.95385,0.98223,0.59028,0.9829,0.88449,0.95488,0.49414,1.37529,2.13673,0.61927,0.87876,0.00183368,0.00183368,0.00183368
86,807.263,1.22625,1.75995,0.66585,0.92198,0.92728,0.98096,0.98804,0.59327,0.94747,0.91538,0.95185,0.47833,1.38693,2.1058,0.61835,0.87688,0.0018317,0.0018317,0.0018317
87,816.361,1.21596,1.82895,0.66697,0.93746,0.96828,0.93937,0.98815,0.64953,0.97831,0.91538,0.95904,0.55498,1.12926,1.80077,0.60693,0.85118,0.00182972,0.00182972,0.00182972
88,825.799,1.16127,1.73301,0.6487,0.92184,0.97282,0.93846,0.9899,0.64518,0.96766,0.92065,0.95988,0.57374,1.14197,1.81764,0.59943,0.85004,0.00182774,0.00182774,0.00182774
89,835.182,1.14901,1.77515,0.68352,0.93546,0.96107,0.93846,0.98428,0.56376,0.95927,0.92308,0.95387,0.50201,1.3845,2.16216,0.63783,0.88066,0.00182576,0.00182576,0.00182576
90,844.282,1.18145,1.78798,0.65386,0.93023,0.97398,0.94615,0.98589,0.63955,0.95789,0.93077,0.96043,0.54563,1.17125,1.82841,0.58183,0.85245,0.00182378,0.00182378,0.00182378
91,853.598,1.19462,1.84701,0.67353,0.93033,0.9579,0.94615,0.98344,0.61087,0.95224,0.93846,0.95773,0.52596,1.26692,2.00497,0.58144,0.86409,0.0018218,0.0018218,0.0018218
92,863.098,1.19418,1.82662,0.66268,0.92006,0.976,0.93837,0.97668,0.60123,0.96,0.92306,0.96372,0.54,1.2363,2.04076,0.57516,0.86465,0.00181982,0.00181982,0.00181982
