epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,290.027,1.30232,1.94275,0.79815,0.95224,0.93291,0.84941,0.90462,0.60424,0.90408,0.83258,0.87273,0.3829,1.20653,1.86916,0.73415,0.88479,0.00194258,0.00194258,0.00194258
31,298.917,1.34163,1.97361,0.80683,0.97136,0.91951,0.86199,0.91055,0.5599,0.88744,0.82805,0.86896,0.35341,1.40001,1.95773,0.75743,0.89744,0.0019406,0.0019406,0.0019406
32,308.284,1.32773,1.9963,0.80349,0.97395,0.90528,0.8733,0.91306,0.51981,0.88143,0.82413,0.87392,0.35892,1.50948,2.12054,0.76209,0.90198,0.00193862,0.00193862,0.00193862
33,317.291,1.34004,2.00673,0.79471,0.95977,0.92367,0.86425,0.90136,0.57349,0.89178,0.84163,0.86259,0.41138,1.28592,1.95525,0.71339,0.8802,0.00193664,0.00193664,0.00193664
34,326.15,1.33639,1.96917,0.82044,0.96018,0.92593,0.8733,0.91473,0.62115,0.91014,0.83484,0.88223,0.40324,1.18838,1.79351,0.69947,0.87282,0.00193466,0.00193466,0.00193466
35,334.913,1.28025,1.86568,0.76346,0.94344,0.90128,0.87783,0.90931,0.54009,0.87642,0.8371,0.88294,0.36002,1.49862,2.0519,0.75512,0.89577,0.00193268,0.00193268,0.00193268
36,344.137,1.31529,1.95251,0.78159,0.95857,0.91946,0.87557,0.90751,0.59461,0.90243,0.83703,0.86576,0.40075,1.21944,1.8923,0.69467,0.8759,0.0019307,0.0019307,0.0019307
37,353.182,1.31376,1.90257,0.76983,0.95049,0.9227,0.8733,0.90417,0.5977,0.89346,0.83483,0.84916,0.36613,1.22397,1.92612,0.69903,0.87762,0.00192872,0.00192872,0.00192872
38,362.125,1.28452,1.94776,0.7845,0.9627,0.91575,0.85747,0.89247,0.52593,0.88828,0.81674,0.82074,0.29182,1.53477,2.07344,0.74471,0.9024,0.00192674,0.00192674,0.00192674
39,370.941,1.3054,1.92888,0.75591,0.96135,0.93776,0.86425,0.91268,0.55921,0.90339,0.83258,0.85673,0.35034,1.37284,1.9408,0.71658,0.88765,0.00192476,0.00192476,0.00192476
40,379.762,1.30711,1.97797,0.77031,0.94796,0.92852,0.85229,0.89575,0.56971,0.88608,0.81674,0.83836,0.31827,1.34393,1.92847,0.72951,0.88606,0.00192278,0.00192278,0.00192278
41,388.786,1.22532,1.77919,0.7296,0.92496,0.92128,0.88009,0.9196,0.54366,0.90685,0.83032,0.88672,0.36948,1.44485,2.00744,0.71636,0.89189,0.0019208,0.0019208,0.0019208
42,397.456,1.25375,1.86699,0.74057,0.94528,0.93019,0.87421,0.92082,0.57602,0.91206,0.8213,0.88503,0.36594,1.34531,1.87832,0.69705,0.88044,0.00191882,0.00191882,0.00191882
43,406.223,1.26583,1.86282,0.74312,0.93774,0.94784,0.86333,0.92668,0.59156,0.91017,0.81448,0.87269,0.36154,1.28923,1.89204,0.70318,0.87644,0.00191684,0.00191684,0.00191684
44,415.05,1.25686,1.89212,0.76103,0.95257,0.93683,0.87104,0.92564,0.61588,0.90529,0.8434,0.89792,0.42568,1.20761,1.85176,0.67573,0.87262,0.00191486,0.00191486,0.00191486
45,423.721,1.2453,1.87054,0.76966,0.95491,0.9234,0.85973,0.91701,0.56364,0.91748,0.82127,0.88985,0.37432,1.41302,2.0347,0.74133,0.8906,0.00191288,0.00191288,0.00191288
46,432.863,1.33233,2.00555,0.78878,0.96687,0.90452,0.83592,0.89327,0.55553,0.90124,0.78281,0.85602,0.33484,1.47945,2.06899,0.77638,0.89508,0.0019109,0.0019109,0.0019109
47,441.923,1.31587,1.90112,0.78735,0.94009,0.92521,0.86425,0.90902,0.57368,0.91374,0.82353,0.88554,0.37427,1.36819,2.04984,0.69981,0.88311,0.00190892,0.00190892,0.00190892
48,451.124,1.38413,1.9688,0.77961,0.95639,0.93311,0.8733,0.92094,0.59928,0.90058,0.81973,0.87442,0.35787,1.27208,2.05734,0.71178,0.87891,0.00190694,0.00190694,0.00190694
49,459.925,1.26953,1.8347,0.77602,0.94914,0.93056,0.84842,0.89885,0.57611,0.91745,0.81448,0.86283,0.34762,1.34557,1.87539,0.76968,0.88082,0.00190496,0.00190496,0.00190496
