epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,116.96,1.25014,0.70214,0.9232,0.88897,0.89048,0.91918,0.60255,1.15631,0.70711,0.9429,0.00191882,0.00191882,0.00191882
43,119.457,1.28139,0.68095,0.91324,0.91226,0.90022,0.92694,0.6107,1.14572,0.68338,0.94131,0.00191684,0.00191684,0.00191684
44,121.932,1.23437,0.69559,0.92689,0.91945,0.9039,0.93085,0.62679,1.13078,0.66033,0.93776,0.00191486,0.00191486,0.00191486
45,124.525,1.29465,0.70674,0.92062,0.91582,0.8948,0.92913,0.60752,1.1986,0.68152,0.94905,0.00191288,0.00191288,0.00191288
46,126.905,1.23984,0.70278,0.92772,0.93018,0.91702,0.93627,0.61471,1.18121,0.64804,0.94565,0.0019109,0.0019109,0.0019109
47,129.333,1.21229,0.66663,0.9232,0.92525,0.91255,0.93222,0.61838,1.16098,0.63912,0.94667,0.00190892,0.00190892,0.00190892
48,131.953,1.21434,0.66726,0.92486,0.92833,0.91558,0.93283,0.62514,1.12113,0.64296,0.93785,0.00190694,0.00190694,0.00190694
49,134.57,1.20544,0.6724,0.90435,0.88851,0.89264,0.919,0.61207,1.11525,0.67629,0.92729,0.00190496,0.00190496,0.00190496
50,136.925,1.21403,0.68173,0.91433,0.89386,0.88398,0.91925,0.59034,1.17873,0.69992,0.93024,0.00190298,0.00190298,0.00190298
51,139.287,1.28,0.69717,0.92335,0.92513,0.90823,0.93063,0.61441,1.09852,0.65767,0.92515,0.001901,0.001901,0.001901
52,141.752,1.23015,0.69631,0.9288,0.92915,0.91399,0.93382,0.60842,1.18897,0.63845,0.94612,0.00189902,0.00189902,0.00189902
53,144.128,1.22986,0.67606,0.9221,0.93188,0.91788,0.93804,0.61996,1.16449,0.63928,0.93589,0.00189704,0.00189704,0.00189704
54,146.514,1.20983,0.67432,0.91318,0.92249,0.89827,0.92636,0.63189,1.08142,0.64238,0.92221,0.00189506,0.00189506,0.00189506
55,148.896,1.17052,0.65251,0.90892,0.92671,0.89567,0.92619,0.63781,1.05833,0.67407,0.91589,0.00189308,0.00189308,0.00189308
56,151.433,1.18454,0.64995,0.91108,0.91918,0.89608,0.92654,0.6487,1.0344,0.65942,0.91559,0.0018911,0.0018911,0.0018911
57,154.211,1.20984,0.65409,0.9184,0.92355,0.90476,0.93561,0.65453,1.04611,0.6346,0.91608,0.00188912,0.00188912,0.00188912
58,156.729,1.1825,0.65413,0.90677,0.93383,0.91644,0.94224,0.65966,1.05647,0.59999,0.92113,0.00188714,0.00188714,0.00188714
59,159.156,1.13057,0.60711,0.90091,0.93298,0.916,0.93911,0.62877,1.13979,0.61479,0.93152,0.00188516,0.00188516,0.00188516
60,161.713,1.12668,0.62251,0.91142,0.93266,0.91602,0.93882,0.65482,1.04455,0.58844,0.91646,0.00188318,0.00188318,0.00188318
61,164.219,1.19206,0.65105,0.92612,0.92668,0.91385,0.93692,0.64213,1.07226,0.60008,0.92334,0.0018812,0.0018812,0.0018812
62,166.735,1.19438,0.64669,0.92008,0.88668,0.87835,0.91138,0.59664,1.15316,0.64441,0.93662,0.00187922,0.00187922,0.00187922
63,169.229,1.23948,0.65763,0.90844,0.85823,0.8342,0.88824,0.58039,1.14251,0.67307,0.93059,0.00187724,0.00187724,0.00187724
64,171.807,1.21497,0.661,0.90912,0.88482,0.87796,0.90324,0.56756,1.22777,0.70267,0.9591,0.00187526,0.00187526,0.00187526
